"","sex","age","degree","income","income_vs_average","satisfaction","happy"
"151","Female",32,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"152","Female",45,"Hight school",7,"Far below average","Not satisfied","Not too happy"
"153","Female",42,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"154","Female",74,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"155","Male",32,"Bachelors",12,"Below average","Not satisfied","Pretty happy"
"156","Male",38,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"157","Female",60,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"158","Female",52,"Hight school",8,"Below average","More of less satisfied","Not too happy"
"159","Male",67,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"160","Female",38,"Graduate",12,"Average","Not satisfied","Pretty happy"
"161","Male",33,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"162","Male",72,"Hight school",12,"Below average","Not satisfied","Not too happy"
"163","Male",36,"Hight school",12,"Far below average","More of less satisfied","Not too happy"
"164","Female",30,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"165","Male",46,"Hight school",12,"Average","Not satisfied","Pretty happy"
"166","Female",33,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"167","Female",34,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"168","Male",39,"Hight school",11,"Average","Not satisfied","Pretty happy"
"169","Female",78,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"170","Female",53,"associate/junior college",12,"Average","Not satisfied","Pretty happy"
"171","Female",61,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"172","Male",37,"Hight school",12,"Below average","Not satisfied","Not too happy"
"173","Female",48,"Hight school",3,"Below average","Pretty satisfied","Not too happy"
"174","Male",25,"Bachelors",3,"Average","More of less satisfied","Not too happy"
"175","Male",33,"Graduate",12,"Far above average","Pretty satisfied","Not too happy"
"176","Male",69,"Graduate",12,"Far above average","Pretty satisfied","Very happy"
"177","Female",57,"Hight school",12,"Below average","Pretty satisfied","Not too happy"
"178","Male",69,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"179","Male",60,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"180","Male",61,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"181","Male",61,"Hight school",12,"Far above average","Not satisfied","Very happy"
"182","Female",37,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"183","Male",65,"Hight school",9,"Below average","More of less satisfied","Very happy"
"184","Male",63,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"185","Female",34,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"186","Female",29,"Bachelors",12,"Average","More of less satisfied","Very happy"
"187","Female",67,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"188","Female",29,"Bachelors",12,"Average","Not satisfied","Very happy"
"189","Female",44,"Bachelors",12,"Below average","More of less satisfied","Pretty happy"
"190","Male",35,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"191","Male",57,"Bachelors",12,"Below average","More of less satisfied","Not too happy"
"192","Female",60,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"193","Male",66,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"194","Male",32,"Hight school",12,"Above average","More of less satisfied","Very happy"
"195","Male",72,"Bachelors",12,"Average","More of less satisfied","Very happy"
"196","Male",24,"Bachelors",12,"Below average","Not satisfied","Not too happy"
"197","Female",57,"Hight school",1,"Below average","Not satisfied","Pretty happy"
"198","Male",76,"Hight school",11,"Average","Not satisfied","Pretty happy"
"199","Female",52,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"200","Female",64,"Graduate",1,"Far below average","Not satisfied","Pretty happy"
"201","Female",36,"Hight school",1,"Far below average","Not satisfied","Not too happy"
"202","Male",42,"associate/junior college",12,"Above average","More of less satisfied","Pretty happy"
"203","Female",39,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"204","Male",66,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"205","Female",44,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"206","Female",63,"Hight school",12,"Average","Not satisfied","Very happy"
"207","Female",59,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"208","Male",66,"Hight school",10,"Average","More of less satisfied","Pretty happy"
"209","Female",74,"Graduate",12,"Above average","More of less satisfied","Not too happy"
"210","Male",80,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"211","Male",42,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"212","Female",60,"Hight school",9,"Far below average","More of less satisfied","Pretty happy"
"213","Male",37,"Hight school",11,"Far below average","Not satisfied","Not too happy"
"214","Male",27,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"215","Female",67,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"216","Female",73,"Hight school",10,"Average","More of less satisfied","Not too happy"
"217","Female",22,"Hight school",11,"Below average","Not satisfied","Not too happy"
"218","Female",48,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"219","Female",30,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"220","Female",65,"associate/junior college",12,"Below average","Not satisfied","Not too happy"
"221","Female",32,"Hight school",12,"Below average","Not satisfied","Not too happy"
"222","Male",34,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"223","Male",69,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"224","Male",45,"Hight school",8,"Below average","More of less satisfied","Not too happy"
"225","Male",41,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"226","Male",39,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"227","Male",89,"Hight school",12,"Below average","Not satisfied","Not too happy"
"228","Female",70,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"229","Male",79,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"230","Male",53,"associate/junior college",12,"Average","Pretty satisfied","Pretty happy"
"231","Female",64,"associate/junior college",12,"Below average","Not satisfied","Very happy"
"232","Female",49,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"233","Female",55,"associate/junior college",12,"Average","Pretty satisfied","Very happy"
"234","Female",42,"Graduate",12,"Average","Not satisfied","Pretty happy"
"235","Female",56,"Hight school",11,"Below average","Not satisfied","Not too happy"
"236","Female",44,"Hight school",12,"Below average","Not satisfied","Not too happy"
"237","Female",30,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"238","Male",79,"Hight school",9,"Below average","More of less satisfied","Not too happy"
"239","Female",65,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"240","Male",43,"Less than high school",12,"Above average","Not satisfied","Pretty happy"
"241","Female",43,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"242","Female",31,"Hight school",5,"Far below average","More of less satisfied","Pretty happy"
"243","Female",43,"Hight school",10,"Far below average","Not satisfied","Not too happy"
"244","Female",26,"Hight school",1,"Average","Not satisfied","Pretty happy"
"245","Female",31,"Graduate",11,"Below average","Pretty satisfied","Not too happy"
"246","Female",64,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"247","Female",31,"associate/junior college",11,"Below average","Not satisfied","Pretty happy"
"248","Male",47,"Hight school",11,"Far below average","Not satisfied","Not too happy"
"249","Female",27,"Bachelors",12,"Below average","Not satisfied","Pretty happy"
"250","Female",30,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"251","Male",36,"Bachelors",2,"Below average","Not satisfied","Pretty happy"
"252","Female",26,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"253","Female",45,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"254","Female",40,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"255","Female",28,"Graduate",12,"Below average","Pretty satisfied","Very happy"
"256","Male",36,"Bachelors",12,"Above average","Pretty satisfied","Not too happy"
"257","Male",37,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"258","Female",61,"Less than high school",12,"Far below average","Not satisfied","Pretty happy"
"259","Female",52,"Bachelors",12,"Average","Not satisfied","Not too happy"
"260","Female",65,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"261","Male",61,"Graduate",8,"Average","Pretty satisfied","Pretty happy"
"262","Female",49,"Hight school",12,"Average","Not satisfied","Very happy"
"263","Male",22,"Hight school",9,"Average","Not satisfied","Not too happy"
"264","Male",50,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"265","Male",89,"Graduate",11,"Below average","More of less satisfied","Pretty happy"
"266","Male",56,"Hight school",12,"Below average","Not satisfied","Pretty happy"
"267","Male",45,"Hight school",12,"Above average","Not satisfied","Pretty happy"
"268","Female",37,"Less than high school",12,"Average","More of less satisfied","Pretty happy"
"269","Male",18,"Less than high school",12,"Average","More of less satisfied","Pretty happy"
"270","Male",42,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"271","Female",37,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"272","Male",44,"Hight school",12,"Average","Pretty satisfied","Very happy"
"273","Male",63,"Graduate",12,"Below average","Pretty satisfied","Very happy"
"274","Male",29,"Bachelors",12,"Average","More of less satisfied","Very happy"
"275","Female",37,"Bachelors",12,"Average","Pretty satisfied","Pretty happy"
"276","Female",66,"Bachelors",8,"Average","More of less satisfied","Pretty happy"
"277","Female",55,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"278","Female",44,"Bachelors",12,"Above average","Pretty satisfied","Very happy"
"279","Male",59,"Graduate",12,"Below average","Not satisfied","Very happy"
"280","Female",53,"associate/junior college",12,"Average","Pretty satisfied","Pretty happy"
"281","Male",30,"Less than high school",8,"Far below average","Not satisfied","Not too happy"
"282","Male",48,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"283","Male",50,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"284","Male",61,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"285","Male",53,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"286","Male",61,"Bachelors",8,"Below average","Not satisfied","Pretty happy"
"287","Female",30,"Graduate",4,"Above average","Pretty satisfied","Pretty happy"
"288","Female",62,"Hight school",12,"Above average","More of less satisfied","Not too happy"
"289","Female",44,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"290","Male",60,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"291","Male",66,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"292","Male",69,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"293","Male",47,"Graduate",12,"Average","More of less satisfied","Not too happy"
"294","Female",62,"Less than high school",7,"Below average","More of less satisfied","Pretty happy"
"295","Female",80,"Hight school",3,"Average","More of less satisfied","Pretty happy"
"296","Male",47,"Bachelors",12,"Average","More of less satisfied","Very happy"
"297","Male",37,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"298","Female",54,"Hight school",12,"Below average","More of less satisfied","Not too happy"
"299","Female",47,"Hight school",9,"Far below average","Not satisfied","Not too happy"
"300","Male",59,"Hight school",2,"Far below average","Not satisfied","Pretty happy"
"301","Male",57,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"302","Female",33,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"303","Male",41,"Hight school",12,"Far below average","Not satisfied","Not too happy"
"304","Female",58,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"305","Male",27,"Bachelors",12,"Below average","Not satisfied","Not too happy"
"306","Female",57,"associate/junior college",12,"Below average","Not satisfied","Pretty happy"
"307","Female",49,"Less than high school",9,"Average","More of less satisfied","Pretty happy"
"308","Female",46,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"309","Female",81,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"310","Female",35,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"311","Female",28,"Less than high school",12,"Far below average","Not satisfied","Pretty happy"
"312","Male",70,"associate/junior college",12,"Below average","More of less satisfied","Not too happy"
"313","Male",57,"associate/junior college",12,"Average","More of less satisfied","Very happy"
"314","Female",44,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"315","Male",35,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"316","Female",41,"Graduate",12,"Above average","Pretty satisfied","Not too happy"
"317","Male",42,"Hight school",12,"Average","More of less satisfied","Not too happy"
"318","Female",41,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"319","Female",34,"Hight school",1,"Below average","More of less satisfied","Pretty happy"
"320","Female",43,"Hight school",12,"Far above average","Not satisfied","Not too happy"
"321","Female",46,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"322","Male",59,"Hight school",9,"Average","Pretty satisfied","Very happy"
"323","Female",67,"Hight school",12,"Average","More of less satisfied","Very happy"
"324","Male",32,"Less than high school",12,"Average","More of less satisfied","Pretty happy"
"325","Female",29,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"326","Female",71,"associate/junior college",12,"Average","Pretty satisfied","Not too happy"
"327","Male",64,"associate/junior college",12,"Below average","Not satisfied","Not too happy"
"328","Male",73,"associate/junior college",12,"Average","Pretty satisfied","Pretty happy"
"329","Female",77,"Bachelors",12,"Average","Pretty satisfied","Not too happy"
"330","Female",70,"Graduate",12,"Average","Pretty satisfied","Not too happy"
"331","Female",72,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"332","Male",36,"Less than high school",12,"Below average","Not satisfied","Pretty happy"
"333","Female",67,"Hight school",12,"Average","More of less satisfied","Very happy"
"334","Female",41,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"335","Male",34,"Graduate",12,"Above average","More of less satisfied","Pretty happy"
"336","Female",64,"Graduate",12,"Above average","More of less satisfied","Not too happy"
"337","Female",49,"Graduate",12,"Far above average","Pretty satisfied","Not too happy"
"338","Male",67,"Bachelors",9,"Below average","Not satisfied","Not too happy"
"339","Female",33,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"340","Female",33,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"341","Male",40,"Hight school",9,"Below average","Not satisfied","Not too happy"
"342","Female",62,"Hight school",11,"Below average","Not satisfied","Pretty happy"
"343","Male",51,"Hight school",12,"Above average","Pretty satisfied","Pretty happy"
"344","Female",53,"Bachelors",12,"Average","Pretty satisfied","Not too happy"
"345","Female",33,"Hight school",12,"Average","More of less satisfied","Very happy"
"346","Female",53,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"347","Male",46,"associate/junior college",12,"Below average","Not satisfied","Not too happy"
"348","Male",72,"Graduate",12,"Average","More of less satisfied","Pretty happy"
"349","Male",63,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"350","Female",70,"associate/junior college",10,"Below average","More of less satisfied","Pretty happy"
"351","Female",71,"Less than high school",12,"Below average","More of less satisfied","Pretty happy"
"352","Male",46,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"353","Female",36,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"354","Male",72,"Hight school",12,"Above average","More of less satisfied","Pretty happy"
"355","Female",42,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"356","Female",69,"Bachelors",12,"Above average","Pretty satisfied","Pretty happy"
"357","Male",44,"Bachelors",12,"Above average","More of less satisfied","Not too happy"
"358","Female",43,"Graduate",12,"Above average","Pretty satisfied","Very happy"
"359","Female",39,"Hight school",11,"Average","Not satisfied","Pretty happy"
"360","Male",75,"Graduate",12,"Above average","Pretty satisfied","Pretty happy"
"361","Male",28,"Bachelors",12,"Above average","Not satisfied","Not too happy"
"362","Female",21,"Hight school",9,"Below average","Not satisfied","Not too happy"
"363","Female",56,"associate/junior college",1,"Far above average","Not satisfied","Pretty happy"
"364","Female",56,"associate/junior college",5,"Below average","More of less satisfied","Pretty happy"
"365","Male",37,"associate/junior college",12,"Average","More of less satisfied","Pretty happy"
"366","Female",34,"Hight school",12,"Far below average","More of less satisfied","Pretty happy"
"367","Female",37,"associate/junior college",12,"Average","More of less satisfied","Not too happy"
"368","Male",49,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
"369","Female",70,"Bachelors",12,"Average","More of less satisfied","Pretty happy"
"370","Female",78,"Hight school",12,"Average","More of less satisfied","Very happy"
"371","Female",74,"Hight school",12,"Average","Pretty satisfied","Pretty happy"
"372","Female",23,"Hight school",7,"Average","More of less satisfied","Pretty happy"
"373","Female",76,"Bachelors",12,"Average","More of less satisfied","Not too happy"
"374","Male",79,"Hight school",12,"Below average","More of less satisfied","Pretty happy"
"375","Female",66,"associate/junior college",12,"Below average","More of less satisfied","Pretty happy"
"376","Female",22,"associate/junior college",10,"Below average","Not satisfied","Pretty happy"
"377","Male",54,"Hight school",12,"Average","More of less satisfied","Pretty happy"
"378","Female",54,"Hight school",12,"Below average","More of less satisfied","Very happy"
"379","Female",39,"Hight school",8,"Below average","More of less satisfied","Pretty happy"
"380","Male",38,"Bachelors",12,"Above average","More of less satisfied","Pretty happy"
